Datum,Workout-Name,Dauer,Name der Übung,Reihenfolge festlegen,Gewicht,Wiederh.,Entfernung,Sekunden,Notizen,Workout-Notizen,RPE
2017-12-25 18:28:32,"Beine",38min,"Squat (Barbell)",1,50.0,13,0,0,"","",
2017-12-25 18:28:32,"Beine",38min,"Squat (Barbell)",2,50.0,17,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Squat (Barbell)",3,50.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Leg Press",1,90.0,12,0,0,"",,
2017-12-25 18:28:32,"Beine",38min,"Leg Press",2,90.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Leg Press",3,80.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Leg Extension (Machine)",1,45.0,12,0,0,"",,
2017-12-25 18:28:32,"Beine",38min,"Leg Extension (Machine)",2,45.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Leg Extension (Machine)",3,45.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Standing Calf Raise (Machine)",1,50.0,12,0,0,"",,
2017-12-25 18:28:32,"Beine",38min,"Standing Calf Raise (Machine)",2,50.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"Standing Calf Raise (Machine)",3,45.0,12,0,0,,,
2017-12-25 18:28:32,"Beine",38min,"90-90 Übung",1,0,20,0,0,"",,
2017-12-25 18:28:32,"Beine",38min,"Kniebeugung forcieren",1,0,12,0,0,"",,
2017-12-27 13:13:14,"Tagsüber",2min,"Squat (Barbell)",1,52.5,13,0,0,"","",
2017-12-27 13:13:14,"Tagsüber",2min,"Squat (Barbell)",2,50.0,13,0,0,,,
2017-12-27 13:13:14,"Tagsüber",2min,"Squat (Barbell)",3,50.0,13,0,0,,,
2017-12-27 13:13:14,"Tagsüber",2min,"Lunge (Dumbbell)",1,7.5,12,0,0,"",,
2017-12-27 13:13:14,"Tagsüber",2min,"Lunge (Dumbbell)",2,7.5,12,0,0,,,
2017-12-27 13:13:14,"Tagsüber",2min,"Lunge (Dumbbell)",3,7.5,12,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Squat (Barbell)",1,55.0,15,0,0,"","",
2017-12-29 17:54:18,"Rücken",43min,"Squat (Barbell)",2,60.0,14,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Squat (Barbell)",3,60.0,11,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Bent Over Row (Dumbbell)",1,10.0,12,0,0,"",,
2017-12-29 17:54:18,"Rücken",43min,"Bent Over Row (Dumbbell)",2,14.0,10,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Bent Over Row (Dumbbell)",3,14.0,15,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Seated Wide-Grip Row (Cable)",1,30.0,12,0,0,"",,
2017-12-29 17:54:18,"Rücken",43min,"Seated Wide-Grip Row (Cable)",2,35.0,12,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Seated Wide-Grip Row (Cable)",3,30.0,12,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Bicep Curl (Dumbbell)",1,6.0,10,0,0,"",,
2017-12-29 17:54:18,"Rücken",43min,"Bicep Curl (Dumbbell)",2,6.0,10,0,0,,,
2017-12-29 17:54:18,"Rücken",43min,"Bicep Curl (Machine)",1,12.5,12,0,0,"",,
2017-12-29 17:54:18,"Rücken",43min,"Bicep Curl (Machine)",2,10.0,12,0,0,,,
2018-01-03 12:38:04,"Tagsüber",32min,"Squat (Barbell)",1,57.5,12,0,0,"","",
2018-01-03 12:38:04,"Tagsüber",32min,"Squat (Barbell)",2,57.5,12,0,0,,,
2018-01-03 12:38:04,"Tagsüber",32min,"Squat (Barbell)",3,57.5,12,0,0,,,
2018-01-03 12:38:04,"Tagsüber",32min,"Lunge (Dumbbell)",1,7.5,15,0,0,"",,
2018-01-03 12:38:04,"Tagsüber",32min,"Lunge (Dumbbell)",2,7.5,12,0,0,,,
2018-01-03 12:38:04,"Tagsüber",32min,"Lunge (Dumbbell)",3,7.5,12,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Bench Press (Dumbbell)",1,12.0,12,0,0,"","",
2018-01-05 17:48:46,"Brust",45min,"Bench Press (Dumbbell)",2,14.0,10,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Bench Press (Dumbbell)",3,14.0,10,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Cable Crossover",1,10.0,12,0,0,"",,
2018-01-05 17:48:46,"Brust",45min,"Cable Crossover",2,10.0,12,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Cable Crossover",3,12.5,11,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Chest Dip",1,15.0,12,0,0,"",,
2018-01-05 17:48:46,"Brust",45min,"Chest Dip",2,15.0,12,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Chest Dip",3,15.0,12,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Trizepsdrücken (Kabelzug)",1,12.5,12,0,0,"",,
2018-01-05 17:48:46,"Brust",45min,"Trizepsdrücken (Kabelzug)",2,10.0,15,0,0,,,
2018-01-05 17:48:46,"Brust",45min,"Trizepsdrücken (Kabelzug)",3,10.0,15,0,0,,,
2018-01-12 16:19:26,"Rücken",52min,"Leg Extension (Machine)",1,52.5,12,0,0,"","",
2018-01-12 16:19:26,"Rücken",52min,"Leg Extension (Machine)",2,52.5,12,0,0,,,
